	Z	Ion	Electron	Level	N	L	2S+1	2J+1	Energy	Potential	Configuration
0	14	97	9	1	2	1	2	4	0.000000e+00	2.050000e+02	2p5.2P_3/2
1	14	97	9	2	2	1	2	2	6.308160e-01	2.050000e+02	2p5.2P_1/2
2	14	97	9	3	2	0	2	2	5.037810e+01	2.050000e+02	2s1.2p6.2S_1/2
3	14	97	9	5	2	0	2	2	1.744450e+03	2.050000e+02	1s1.2s2.2p6.2S_1/2
4	14	97	9	4	12	0	1	5	2.035760e+01	2.050000e+01	superlevel
5	14	97	9	7	2	1	3	5	2.050000e+01	2.050000e+02	continuum
6	14	97	9	6	1	0	0	1	1.763570e+03	-1.558570e+03	superlevel_[K]
