	Z	Initial_Ion	Initial Level	Final_Ion	Final Level	N	L	2S+1	Temperature	Rate
6371	14	97	1	96	28	12	0	2	1.000000e+01	9.191786e-10
6372	14	97	1	96	28	12	0	2	1.258925e+01	8.115782e-10
6373	14	97	1	96	28	12	0	2	1.584893e+01	7.159461e-10
6374	14	97	1	96	28	12	0	2	1.995262e+01	6.309715e-10
6375	14	97	1	96	28	12	0	2	2.511886e+01	5.555331e-10
6376	14	97	1	96	28	12	0	2	3.162278e+01	4.885956e-10
6377	14	97	1	96	28	12	0	2	3.981072e+01	4.292502e-10
6378	14	97	1	96	28	12	0	2	5.011873e+01	3.766949e-10
6379	14	97	1	96	28	12	0	2	6.309573e+01	3.303239e-10
6380	14	97	1	96	28	12	0	2	7.943282e+01	2.898342e-10
6381	14	97	1	96	28	12	0	2	1.000000e+02	2.552290e-10
6382	14	97	1	96	28	12	0	2	1.258925e+02	2.263966e-10
6383	14	97	1	96	28	12	0	2	1.584893e+02	2.026562e-10
6384	14	97	1	96	28	12	0	2	1.995262e+02	1.826459e-10
6385	14	97	1	96	28	12	0	2	2.511887e+02	1.648199e-10
6386	14	97	1	96	28	12	0	2	3.162278e+02	1.480369e-10
6387	14	97	1	96	28	12	0	2	3.981071e+02	1.318589e-10
6388	14	97	1	96	28	12	0	2	5.011873e+02	1.164581e-10
6389	14	97	1	96	28	12	0	2	6.309573e+02	1.022727e-10
6390	14	97	1	96	28	12	0	2	7.943284e+02	8.959836e-11
6391	14	97	1	96	28	12	0	2	1.000000e+03	7.843317e-11
6392	14	97	1	96	28	12	0	2	1.258925e+03	6.850149e-11
6393	14	97	1	96	28	12	0	2	1.584893e+03	5.952510e-11
6394	14	97	1	96	28	12	0	2	1.995262e+03	5.134519e-11
6395	14	97	1	96	28	12	0	2	2.511887e+03	4.392383e-11
6396	14	97	1	96	28	12	0	2	3.162278e+03	3.726487e-11
6397	14	97	1	96	28	12	0	2	3.981071e+03	3.136895e-11
6398	14	97	1	96	28	12	0	2	5.011873e+03	2.624217e-11
6399	14	97	1	96	28	12	0	2	6.309573e+03	2.183232e-11
6400	14	97	1	96	28	12	0	2	7.943284e+03	1.809255e-11
6401	14	97	1	96	28	12	0	2	1.000000e+04	1.494857e-11
6402	14	97	1	96	28	12	0	2	1.258925e+04	1.231970e-11
6403	14	97	1	96	28	12	0	2	1.584892e+04	1.013445e-11
6404	14	97	1	96	28	12	0	2	1.995263e+04	8.321476e-12
6405	14	97	1	96	28	12	0	2	2.511887e+04	6.829677e-12
6406	14	97	1	96	28	12	0	2	3.162278e+04	5.620821e-12
6407	14	97	1	96	28	12	0	2	3.981071e+04	4.658001e-12
6408	14	97	1	96	28	12	0	2	5.011870e+04	3.906607e-12
6409	14	97	1	96	28	12	0	2	6.309576e+04	3.362792e-12
6410	14	97	1	96	28	12	0	2	7.943284e+04	3.093145e-12
6411	14	97	1	96	28	12	0	2	1.000000e+05	3.219587e-12
6412	14	97	1	96	28	12	0	2	1.258925e+05	3.835309e-12
6413	14	97	1	96	28	12	0	2	1.584892e+05	4.907947e-12
6414	14	97	1	96	28	12	0	2	1.995263e+05	6.269028e-12
6415	14	97	1	96	28	12	0	2	2.511887e+05	7.698396e-12
6416	14	97	1	96	28	12	0	2	3.162278e+05	9.024029e-12
6417	14	97	1	96	28	12	0	2	3.981071e+05	1.012511e-11
6418	14	97	1	96	28	12	0	2	5.011870e+05	1.087928e-11
6419	14	97	1	96	28	12	0	2	6.309576e+05	1.117122e-11
6420	14	97	1	96	28	12	0	2	7.943284e+05	1.093705e-11
6421	14	97	1	96	28	12	0	2	1.000000e+06	1.021646e-11
6422	14	97	1	96	28	12	0	2	1.258925e+06	9.126420e-12
6423	14	97	1	96	28	12	0	2	1.584892e+06	7.836104e-12
6424	14	97	1	96	28	12	0	2	1.995263e+06	6.501293e-12
6425	14	97	1	96	28	12	0	2	2.511887e+06	5.240834e-12
6426	14	97	1	96	28	12	0	2	3.162278e+06	4.124775e-12
6427	14	97	1	96	28	12	0	2	3.981071e+06	3.184199e-12
6428	14	97	1	96	28	12	0	2	5.011870e+06	2.419912e-12
6429	14	97	1	96	28	12	0	2	6.309576e+06	1.815934e-12
6430	14	97	1	96	28	12	0	2	7.943284e+06	1.349585e-12
6431	14	97	1	96	28	12	0	2	1.000000e+07	9.951763e-13
6432	14	97	1	96	28	12	0	2	1.258925e+07	7.294574e-13
6433	14	97	1	96	28	12	0	2	1.584892e+07	5.321081e-13
6434	14	97	1	96	28	12	0	2	1.995263e+07	3.867234e-13
6435	14	97	1	96	28	12	0	2	2.511887e+07	2.802853e-13
6436	14	97	1	96	28	12	0	2	3.162278e+07	2.026749e-13
6437	14	97	1	96	28	12	0	2	3.981071e+07	1.462851e-13
6438	14	97	1	96	28	12	0	2	5.011870e+07	1.054386e-13
6439	14	97	1	96	28	12	0	2	6.309576e+07	7.589277e-14
6440	14	97	1	96	28	12	0	2	7.943284e+07	5.458831e-14
6441	14	97	1	96	28	12	0	2	1.000000e+08	3.921933e-14
6442	14	97	1	96	28	12	0	2	1.258927e+08	2.815790e-14
6443	14	97	1	96	28	12	0	2	1.584892e+08	2.019760e-14
6444	14	97	1	96	28	12	0	2	1.995263e+08	1.448105e-14
6445	14	97	1	96	28	12	0	2	2.511884e+08	1.037289e-14
6446	14	97	1	96	28	12	0	2	3.162278e+08	7.425059e-15
6447	14	97	1	96	28	12	0	2	3.981075e+08	5.311286e-15
6448	14	97	1	96	28	12	0	2	5.011870e+08	3.796646e-15
6449	14	97	1	96	28	12	0	2	6.309576e+08	2.712065e-15
6450	14	97	1	96	28	12	0	2	7.943275e+08	1.936421e-15
6451	14	97	1	96	28	12	0	2	1.000000e+09	1.381337e-15
