	Z	Initial_Ion	Initial_Level	Final_Ion	Final_Level	N	L	2S+1	Energy (Ry)	Cross Section (Mb)
6047	14	101	126	102	1	12	0	2	0.000000e+00	1.842000e+00
6048	14	101	126	102	1	12	0	2	1.149220e+01	1.326000e+00
6049	14	101	126	102	1	12	0	2	2.484410e+01	9.542000e-01
6050	14	101	126	102	1	12	0	2	4.033810e+01	6.871000e-01
6051	14	101	126	102	1	12	0	2	5.830720e+01	4.951000e-01
6052	14	101	126	102	1	12	0	2	7.916220e+01	3.569000e-01
6053	14	101	126	102	1	12	0	2	1.034630e+02	2.571000e-01
6054	14	101	126	102	1	12	0	2	1.315530e+02	1.855000e-01
6055	14	101	126	102	1	12	0	2	1.644180e+02	1.335000e-01
6056	14	101	126	102	1	12	0	2	2.026970e+02	9.609000e-02
6057	14	101	126	102	1	12	0	2	2.465020e+02	6.947000e-02
6058	14	101	126	102	1	12	0	2	2.977280e+02	5.011000e-02
6059	14	101	126	102	1	12	0	2	3.571530e+02	3.615000e-02
6060	14	101	126	102	1	12	0	2	4.269720e+02	2.598000e-02
6061	14	101	126	102	1	12	0	2	5.069880e+02	1.875000e-02
6062	14	101	126	102	1	12	0	2	5.999500e+02	1.353000e-02
6063	14	101	126	102	1	12	0	2	7.075490e+02	9.761000e-03
6064	14	101	126	102	1	12	0	2	8.316220e+02	7.052000e-03
6065	14	101	126	102	1	12	0	2	9.774230e+02	5.070000e-03
6066	14	101	126	102	1	12	0	2	1.144920e+03	3.653000e-03
6067	14	101	126	102	1	12	0	2	1.341080e+03	2.621000e-03
6068	14	101	126	102	1	12	0	2	1.565560e+03	1.886000e-03
6069	14	101	126	102	1	12	0	2	1.827610e+03	1.352000e-03
6070	14	101	126	102	1	12	0	2	2.126320e+03	9.721000e-04
6071	14	101	126	102	1	12	0	2	2.473840e+03	6.963000e-04
6072	14	101	126	102	1	12	0	2	2.868480e+03	5.005000e-04
6073	14	101	126	102	1	12	0	2	3.326040e+03	3.583000e-04
6074	14	101	126	102	1	12	0	2	3.843640e+03	2.574000e-04
6075	14	101	126	102	1	12	0	2	4.441760e+03	1.841000e-04
6076	14	101	126	102	1	12	0	2	5.115700e+03	1.322000e-04
6077	14	101	126	102	1	12	0	2	5.891890e+03	9.445000e-05
6078	14	101	126	102	1	12	0	2	6.763050e+03	6.774000e-05
6079	14	101	126	102	1	12	0	2	7.762980e+03	4.837000e-05
6080	14	101	126	102	1	12	0	2	8.880850e+03	3.466000e-05
6081	14	101	126	102	1	12	0	2	1.015970e+04	2.473000e-05
6082	14	101	126	102	1	12	0	2	1.162260e+04	1.756000e-05
6083	14	101	126	102	1	12	0	2	1.325160e+04	1.252000e-05
6084	14	101	126	102	1	12	0	2	1.470770e+04	9.538000e-06
