	Z	Ion	Electron	Level	N	L	2S+1	2J+1	Energy	Potential	Configuration
3561	14	97	9	1	2	1	2	4	0.00000000e+00	2.05000000e+02	2p5.2P_3/2
3562	14	97	9	2	2	1	2	2	6.30815983e-01	2.05000000e+02	2p5.2P_1/2
3563	14	97	9	3	2	0	2	2	5.03781013e+01	2.05000000e+02	2s1.2p6.2S_1/2
3564	14	97	9	5	2	0	2	2	1.74444995e+03	2.05000000e+02	1s1.2s2.2p6.2S_1/2
3565	14	97	9	4	12	0	1	5	2.03575993e+01	2.05000000e+01	superlevel
3566	14	97	9	7	2	1	3	5	2.05000000e+01	2.05000000e+02	continuum
3567	14	97	9	6	1	0	0	1	1.76356995e+03	-1.55856995e+03	superlevel_[K]
